state,hour,hour_of_day,load_mw,solar_mw,wind_mw,fuel_capacity_mw,battery_power_mw,battery_energy_mwh,battery_efficiency,battery_initial_soc_mwh
CA,0,0,27810.0,1124.0,350.0,4689.7,4000,16000,0.88,8000
TX,0,0,49958.0,5883.0,9344.0,52021.4,3000,12000,0.9,6000
NY,0,0,22581.0,0,608.0,21465.9,2000,8000,0.85,4000
CA,1,1,30137.0,354.0,358.0,4689.7,4000,16000,0.88,8000
TX,1,1,51482.0,78.0,10103.0,52021.4,3000,12000,0.9,6000
NY,1,1,22268.0,0,609.0,21465.9,2000,8000,0.85,4000
CA,2,2,32479.0,4.0,300.0,4689.7,4000,16000,0.88,8000
TX,2,2,51927.0,0,12489.0,52021.4,3000,12000,0.9,6000
NY,2,2,21722.0,0,744.0,21465.9,2000,8000,0.85,4000
CA,3,3,33032.0,0,316.0,4689.7,4000,16000,0.88,8000
TX,3,3,51656.0,0,14079.0,52021.4,3000,12000,0.9,6000
NY,3,3,20915.0,0,667.0,21465.9,2000,8000,0.85,4000
CA,4,4,32317.0,0,309.0,4689.7,4000,16000,0.88,8000
TX,4,4,50529.0,0,14925.0,52021.4,3000,12000,0.9,6000
NY,4,4,19810.0,0,748.0,21465.9,2000,8000,0.85,4000
CA,5,5,31652.0,0,302.0,4689.7,4000,16000,0.88,8000
TX,5,5,48546.0,0,14379.0,52021.4,3000,12000,0.9,6000
NY,5,5,18861.0,0,864.0,21465.9,2000,8000,0.85,4000
CA,6,6,30582.0,0,302.0,4689.7,4000,16000,0.88,8000
TX,6,6,46528.0,0,12987.0,52021.4,3000,12000,0.9,6000
NY,6,6,18213.0,0,954.0,21465.9,2000,8000,0.85,4000
CA,7,7,29001.0,0,308.0,4689.7,4000,16000,0.88,8000
TX,7,7,45267.0,0,12052.0,52021.4,3000,12000,0.9,6000
NY,7,7,17776.0,0,893.0,21465.9,2000,8000,0.85,4000
CA,8,8,27204.0,0,303.0,4689.7,4000,16000,0.88,8000
TX,8,8,44784.0,0,11601.0,52021.4,3000,12000,0.9,6000
NY,8,8,17534.0,0,907.0,21465.9,2000,8000,0.85,4000
CA,9,9,26314.0,0,238.0,4689.7,4000,16000,0.88,8000
TX,9,9,44660.0,0,11580.0,52021.4,3000,12000,0.9,6000
NY,9,9,17416.0,0,870.0,21465.9,2000,8000,0.85,4000
CA,10,10,25186.0,0,160.0,4689.7,4000,16000,0.88,8000
TX,10,10,45107.0,0,11413.0,52021.4,3000,12000,0.9,6000
NY,10,10,17619.0,0,876.0,21465.9,2000,8000,0.85,4000
CA,11,11,24412.0,0,193.0,4689.7,4000,16000,0.88,8000
TX,11,11,46597.0,0,11374.0,52021.4,3000,12000,0.9,6000
NY,11,11,18395.0,0,828.0,21465.9,2000,8000,0.85,4000
CA,12,12,24123.0,0,211.0,4689.7,4000,16000,0.88,8000
TX,12,12,49676.0,0,11654.0,52021.4,3000,12000,0.9,6000
NY,12,12,19825.0,0,812.0,21465.9,2000,8000,0.85,4000
CA,13,13,24602.0,0,169.0,4689.7,4000,16000,0.88,8000
TX,13,13,53851.0,0,11371.0,52021.4,3000,12000,0.9,6000
NY,13,13,20845.0,0,706.0,21465.9,2000,8000,0.85,4000
CA,14,14,26269.0,0,160.0,4689.7,4000,16000,0.88,8000
TX,14,14,55788.0,1129.0,11766.0,52021.4,3000,12000,0.9,6000
NY,14,14,20929.0,0,631.0,21465.9,2000,8000,0.85,4000
CA,15,15,28754.0,9.0,157.0,4689.7,4000,16000,0.88,8000
TX,15,15,54857.0,12969.0,11806.0,52021.4,3000,12000,0.9,6000
NY,15,15,20488.0,0,590.0,21465.9,2000,8000,0.85,4000
CA,16,16,29994.0,386.0,140.0,4689.7,4000,16000,0.88,8000
TX,16,16,53503.0,24166.0,10642.0,52021.4,3000,12000,0.9,6000
NY,16,16,19954.0,0,507.0,21465.9,2000,8000,0.85,4000
CA,17,17,28877.0,1170.0,118.0,4689.7,4000,16000,0.88,8000
TX,17,17,52434.0,25055.0,11371.0,52021.4,3000,12000,0.9,6000
NY,17,17,19509.0,0,511.0,21465.9,2000,8000,0.85,4000
CA,18,18,26848.0,1612.0,87.0,4689.7,4000,16000,0.88,8000
TX,18,18,51380.0,23040.0,12515.0,52021.4,3000,12000,0.9,6000
NY,18,18,19169.0,0,553.0,21465.9,2000,8000,0.85,4000
CA,19,19,24938.0,1640.0,67.0,4689.7,4000,16000,0.88,8000
TX,19,19,50390.0,20172.0,14709.0,52021.4,3000,12000,0.9,6000
NY,19,19,18989.0,0,495.0,21465.9,2000,8000,0.85,4000
CA,20,20,23557.0,1663.0,84.0,4689.7,4000,16000,0.88,8000
TX,20,20,49545.0,18811.0,16145.0,52021.4,3000,12000,0.9,6000
NY,20,20,18911.0,0,437.0,21465.9,2000,8000,0.85,4000
CA,21,21,23081.0,1662.0,100.0,4689.7,4000,16000,0.88,8000
TX,21,21,48965.0,18693.0,16682.0,52021.4,3000,12000,0.9,6000
NY,21,21,19448.0,0,486.0,21465.9,2000,8000,0.85,4000
CA,22,22,23498.0,1632.0,109.0,4689.7,4000,16000,0.88,8000
TX,22,22,48888.0,17651.0,16696.0,52021.4,3000,12000,0.9,6000
NY,22,22,20686.0,0,569.0,21465.9,2000,8000,0.85,4000
CA,23,23,25051.0,1547.0,86.0,4689.7,4000,16000,0.88,8000
TX,23,23,49465.0,13143.0,16601.0,52021.4,3000,12000,0.9,6000
NY,23,23,21892.0,0,632.0,21465.9,2000,8000,0.85,4000
CA,24,0,27195.0,1193.0,70.0,4689.7,4000,16000,0.88,8000
TX,24,0,50823.0,6519.0,14525.0,52021.4,3000,12000,0.9,6000
NY,24,0,22279.0,0,761.0,21465.9,2000,8000,0.85,4000
CA,25,1,29828.0,378.0,72.0,4689.7,4000,16000,0.88,8000
TX,25,1,53169.0,128.0,9818.0,52021.4,3000,12000,0.9,6000
NY,25,1,22078.0,0,893.0,21465.9,2000,8000,0.85,4000
CA,26,2,32154.0,7.0,75.0,4689.7,4000,16000,0.88,8000
TX,26,2,54119.0,0,7372.0,52021.4,3000,12000,0.9,6000
NY,26,2,21670.0,0,963.0,21465.9,2000,8000,0.85,4000
CA,27,3,32734.0,2.0,51.0,4689.7,4000,16000,0.88,8000
TX,27,3,54339.0,0,5849.0,52021.4,3000,12000,0.9,6000
NY,27,3,20915.0,0,845.0,21465.9,2000,8000,0.85,4000
CA,28,4,32090.0,2.0,68.0,4689.7,4000,16000,0.88,8000
TX,28,4,53818.0,0,4986.0,52021.4,3000,12000,0.9,6000
NY,28,4,19868.0,0,822.0,21465.9,2000,8000,0.85,4000
CA,29,5,31568.0,2.0,119.0,4689.7,4000,16000,0.88,8000
TX,29,5,51976.0,0,4539.0,52021.4,3000,12000,0.9,6000
NY,29,5,18981.0,0,814.0,21465.9,2000,8000,0.85,4000
CA,30,6,30640.0,2.0,123.0,4689.7,4000,16000,0.88,8000
TX,30,6,50379.0,0,5222.0,52021.4,3000,12000,0.9,6000
NY,30,6,18406.0,0,696.0,21465.9,2000,8000,0.85,4000
CA,31,7,28970.0,2.0,124.0,4689.7,4000,16000,0.88,8000
TX,31,7,49631.0,0,6782.0,52021.4,3000,12000,0.9,6000
NY,31,7,18020.0,0,612.0,21465.9,2000,8000,0.85,4000
CA,32,8,27336.0,0,250.0,4689.7,4000,16000,0.88,8000
TX,32,8,49645.0,0,9330.0,52021.4,3000,12000,0.9,6000
NY,32,8,17835.0,0,576.0,21465.9,2000,8000,0.85,4000
CA,33,9,26390.0,2.0,276.0,4689.7,4000,16000,0.88,8000
TX,33,9,50010.0,0,11796.0,52021.4,3000,12000,0.9,6000
NY,33,9,17783.0,0,457.0,21465.9,2000,8000,0.85,4000
CA,34,10,25342.0,0,297.0,4689.7,4000,16000,0.88,8000
TX,34,10,50885.0,0,13337.0,52021.4,3000,12000,0.9,6000
NY,34,10,18049.0,0,394.0,21465.9,2000,8000,0.85,4000
CA,35,11,24545.0,0,307.0,4689.7,4000,16000,0.88,8000
TX,35,11,52441.0,0,14374.0,52021.4,3000,12000,0.9,6000
NY,35,11,18881.0,0,410.0,21465.9,2000,8000,0.85,4000
CA,36,12,24298.0,0,304.0,4689.7,4000,16000,0.88,8000
TX,36,12,55465.0,0,15856.0,52021.4,3000,12000,0.9,6000
NY,36,12,20428.0,0,376.0,21465.9,2000,8000,0.85,4000
