Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1206543,-,-,-,39.97,-75.18,0,26,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Wind Speed
2020,1,1,0,30,0,0,0,1.5
2020,1,1,1,30,0,0,0,1.7000000000000002
2020,1,1,2,30,0,0,0,1.7000000000000002
2020,1,1,3,30,0,0,0,1.7000000000000002
2020,1,1,4,30,0,0,0,1.7000000000000002
2020,1,1,5,30,0,0,0,1.7000000000000002
2020,1,1,6,30,0,0,0,1.5
2020,1,1,7,30,0,0,0,1.4000000000000001
2020,1,1,8,30,0,0,0,1.4000000000000001
2020,1,1,9,30,0,0,0,1.4000000000000001
2020,1,1,10,30,0,0,0,1.4000000000000001
2020,1,1,11,30,0,0,0,1.5
2020,1,1,12,30,2,0,2,2
2020,1,1,13,30,21,0,21,2.9000000000000004
2020,1,1,14,30,44,0,44,3.7
2020,1,1,15,30,98,0,98,4.2
2020,1,1,16,30,142,10,138,4.3
2020,1,1,17,30,175,9,171,4.2
2020,1,1,18,30,251,151,190,3.9000000000000004
2020,1,1,19,30,266,480,114,3.2
2020,1,1,20,30,171,670,44,2
2020,1,1,21,30,26,241,17,1.1
2020,1,1,22,30,0,0,0,1
2020,1,1,23,30,0,0,0,1
2020,1,2,0,30,0,0,0,1
2020,1,2,1,30,0,0,0,0.9
2020,1,2,2,30,0,0,0,0.9
2020,1,2,3,30,0,0,0,0.9
2020,1,2,4,30,0,0,0,0.9
2020,1,2,5,30,0,0,0,0.9
2020,1,2,6,30,0,0,0,0.9
2020,1,2,7,30,0,0,0,0.9
2020,1,2,8,30,0,0,0,1
2020,1,2,9,30,0,0,0,1
2020,1,2,10,30,0,0,0,1
2020,1,2,11,30,0,0,0,1
2020,1,2,12,30,12,134,10,1.3
2020,1,2,13,30,148,644,39,1.7000000000000002
2020,1,2,14,30,294,806,51,1.8
2020,1,2,15,30,364,659,102,2.2
2020,1,2,16,30,340,308,202,2.3000000000000003
2020,1,2,17,30,303,175,224,2
2020,1,2,18,30,256,137,200,1.6
2020,1,2,19,30,189,91,160,1.3
2020,1,2,20,30,109,49,100,1.1
2020,1,2,21,30,14,29,13,1.1
2020,1,2,22,30,0,0,0,1.3
2020,1,2,23,30,0,0,0,1.5
2020,1,3,0,30,0,0,0,1.5
2020,1,3,1,30,0,0,0,1.5
2020,1,3,2,30,0,0,0,1.4000000000000001
2020,1,3,3,30,0,0,0,1.4000000000000001
2020,1,3,4,30,0,0,0,1.3
2020,1,3,5,30,0,0,0,1.3
2020,1,3,6,30,0,0,0,1.4000000000000001
2020,1,3,7,30,0,0,0,1.3
2020,1,3,8,30,0,0,0,1.1
