state,hour,hour_of_day,load_mw,solar_mw,wind_mw,fuel_capacity_mw,battery_power_mw,battery_energy_mwh,battery_efficiency,battery_initial_soc_mwh
CA,0,0,17464.2,0.0,3475.5,13368.8,4000,16000,0.88,8000
CA,1,1,17570.2,0.0,4759.3,14272.6,4000,16000,0.88,8000
CA,2,2,17594.6,0.0,3407.5,13699.3,4000,16000,0.88,8000
CA,3,3,17730.9,0.0,3694.1,13887.0,4000,16000,0.88,8000
CA,4,4,17894.8,0.0,3679.6,14212.2,4000,16000,0.88,8000
CA,5,5,18041.1,0.0,3458.4,14075.8,4000,16000,0.88,8000
CA,6,6,19214.8,316.6,3319.1,13515.6,4000,16000,0.88,8000
CA,7,7,20320.9,1470.5,4248.4,13507.3,4000,16000,0.88,8000
CA,8,8,22227.3,2309.1,3469.4,14566.0,4000,16000,0.88,8000
CA,9,9,22471.7,4266.9,2262.2,14939.5,4000,16000,0.88,8000
CA,10,10,21904.2,7443.7,3398.6,14688.8,4000,16000,0.88,8000
CA,11,11,20379.7,9451.3,2562.3,12853.1,4000,16000,0.88,8000
CA,12,12,19235.2,12047.3,3383.0,12977.3,4000,16000,0.88,8000
CA,13,13,18317.2,11663.1,3839.5,13570.9,4000,16000,0.88,8000
CA,14,14,17733.3,10128.1,2849.9,14208.1,4000,16000,0.88,8000
CA,15,15,18680.8,6957.6,2767.2,14390.5,4000,16000,0.88,8000
CA,16,16,19367.2,4624.4,3855.8,14003.1,4000,16000,0.88,8000
CA,17,17,21457.2,1943.2,1941.8,14496.0,4000,16000,0.88,8000
CA,18,18,24068.8,1055.9,2810.6,13224.7,4000,16000,0.88,8000
CA,19,19,25430.9,1044.1,2569.3,13458.0,4000,16000,0.88,8000
CA,20,20,23919.8,0.0,2501.1,14807.7,4000,16000,0.88,8000
CA,21,21,21289.4,0.0,3744.4,13304.9,4000,16000,0.88,8000
CA,22,22,19048.4,0.0,3388.6,14065.3,4000,16000,0.88,8000
CA,23,23,18240.7,0.0,3164.7,13243.5,4000,16000,0.88,8000
CA,24,0,17798.6,0.0,3586.7,12954.5,4000,16000,0.88,8000
CA,25,1,17617.0,0.0,3701.2,14161.8,4000,16000,0.88,8000
CA,26,2,17579.9,0.0,2872.1,12892.9,4000,16000,0.88,8000
CA,27,3,16945.3,0.0,5224.5,13940.5,4000,16000,0.88,8000
CA,28,4,18218.9,0.0,3341.6,12775.8,4000,16000,0.88,8000
CA,29,5,18141.3,0.0,2528.9,13958.2,4000,16000,0.88,8000
CA,30,6,19166.7,867.3,3489.8,13770.9,4000,16000,0.88,8000
CA,31,7,20856.5,1669.3,2649.3,13342.6,4000,16000,0.88,8000
CA,32,8,21976.3,2218.9,4034.9,13421.5,4000,16000,0.88,8000
CA,33,9,22486.2,4006.6,2369.9,13093.9,4000,16000,0.88,8000
CA,34,10,22157.6,6681.4,3132.0,12751.3,4000,16000,0.88,8000
CA,35,11,20382.1,9916.3,3106.3,14840.5,4000,16000,0.88,8000
CA,36,12,19548.0,11283.4,2926.7,14725.5,4000,16000,0.88,8000
CA,37,13,18310.5,11896.5,2916.9,13843.5,4000,16000,0.88,8000
CA,38,14,18234.2,10204.8,3031.2,13819.4,4000,16000,0.88,8000
CA,39,15,17966.4,6859.5,2855.0,14713.0,4000,16000,0.88,8000
CA,40,16,19088.0,4438.9,2058.6,13202.6,4000,16000,0.88,8000
CA,41,17,21381.9,1775.4,4813.3,14212.2,4000,16000,0.88,8000
CA,42,18,23781.1,1129.5,3310.2,13510.7,4000,16000,0.88,8000
CA,43,19,25372.9,133.6,2771.4,13245.5,4000,16000,0.88,8000
CA,44,20,24378.8,0.0,3365.6,13265.1,4000,16000,0.88,8000
CA,45,21,21889.5,0.0,2801.1,12909.4,4000,16000,0.88,8000
CA,46,22,19257.3,0.0,4667.6,13232.0,4000,16000,0.88,8000
CA,47,23,18433.0,0.0,4845.6,14034.8,4000,16000,0.88,8000
