state,hour,hour_of_day,load_mw,solar_mw,wind_mw,fuel_capacity_mw,battery_power_mw,battery_energy_mwh,battery_efficiency,battery_initial_soc_mwh
NY,0,0,13811.4,0.0,6703.0,11940.4,2000,8000,0.85,4000
NY,1,1,13949.3,0.0,6321.1,10919.4,2000,8000,0.85,4000
NY,2,2,14255.4,0.0,4641.8,11890.6,2000,8000,0.85,4000
NY,3,3,14444.0,0.0,6699.6,10521.4,2000,8000,0.85,4000
NY,4,4,14337.3,0.0,4602.1,10395.1,2000,8000,0.85,4000
NY,5,5,14272.3,0.0,5497.0,10764.6,2000,8000,0.85,4000
NY,6,6,15175.5,36.8,3114.0,10658.5,2000,8000,0.85,4000
NY,7,7,16720.6,399.7,3949.4,11866.0,2000,8000,0.85,4000
NY,8,8,17396.9,867.7,3932.2,10855.6,2000,8000,0.85,4000
NY,9,9,17902.3,2002.0,4565.9,10794.4,2000,8000,0.85,4000
NY,10,10,17554.7,3238.1,3856.3,10756.7,2000,8000,0.85,4000
NY,11,11,16381.6,4017.5,4497.1,10732.2,2000,8000,0.85,4000
NY,12,12,15510.9,5009.3,5259.7,11825.0,2000,8000,0.85,4000
NY,13,13,14473.7,4802.0,3494.5,11186.3,2000,8000,0.85,4000
NY,14,14,14445.1,4145.5,2927.7,11378.5,2000,8000,0.85,4000
NY,15,15,14589.8,2812.0,4212.2,10584.7,2000,8000,0.85,4000
NY,16,16,14968.4,1855.6,4156.5,10352.6,2000,8000,0.85,4000
NY,17,17,17067.7,713.5,3876.5,10803.3,2000,8000,0.85,4000
NY,18,18,19387.4,174.6,3700.6,10558.4,2000,8000,0.85,4000
NY,19,19,20073.8,259.0,4103.1,11055.2,2000,8000,0.85,4000
NY,20,20,19293.8,0.0,3716.5,10946.0,2000,8000,0.85,4000
NY,21,21,17093.0,0.0,4283.0,11453.4,2000,8000,0.85,4000
NY,22,22,15233.9,0.0,4828.5,11380.9,2000,8000,0.85,4000
NY,23,23,14764.1,0.0,4862.7,11586.1,2000,8000,0.85,4000
NY,24,0,14165.2,0.0,5505.5,10516.6,2000,8000,0.85,4000
NY,25,1,14234.6,0.0,4459.4,10290.4,2000,8000,0.85,4000
NY,26,2,14011.1,0.0,6897.6,11021.6,2000,8000,0.85,4000
NY,27,3,14140.9,0.0,3280.0,11978.2,2000,8000,0.85,4000
NY,28,4,13780.4,0.0,3307.7,11804.6,2000,8000,0.85,4000
NY,29,5,14326.2,0.0,3680.7,11108.6,2000,8000,0.85,4000
NY,30,6,15485.7,0,5185.9,11054.4,2000,8000,0.85,4000
NY,31,7,16348.8,395.4,4677.2,11347.8,2000,8000,0.85,4000
NY,32,8,17730.6,743.7,3495.7,10339.5,2000,8000,0.85,4000
NY,33,9,18085.4,1774.9,4698.7,10775.5,2000,8000,0.85,4000
NY,34,10,17600.8,2949.7,4162.7,11471.6,2000,8000,0.85,4000
NY,35,11,16853.2,4286.3,4361.7,11176.7,2000,8000,0.85,4000
NY,36,12,15247.8,4948.5,2288.6,11251.3,2000,8000,0.85,4000
NY,37,13,14792.4,4797.7,2328.7,11578.1,2000,8000,0.85,4000
NY,38,14,14264.8,4156.3,3101.3,11736.2,2000,8000,0.85,4000
NY,39,15,14746.0,3119.8,3729.5,11545.5,2000,8000,0.85,4000
NY,40,16,15132.0,1743.2,4116.6,10984.5,2000,8000,0.85,4000
NY,41,17,17323.0,1058.4,4147.7,11422.5,2000,8000,0.85,4000
NY,42,18,19149.3,452.9,3539.5,11320.1,2000,8000,0.85,4000
NY,43,19,20221.3,295.9,4151.9,11215.9,2000,8000,0.85,4000
NY,44,20,19531.0,0.0,4218.8,10444.3,2000,8000,0.85,4000
NY,45,21,17120.8,0.0,4882.7,10882.4,2000,8000,0.85,4000
NY,46,22,15425.9,0.0,5733.1,11570.2,2000,8000,0.85,4000
NY,47,23,14188.6,0.0,6041.8,11697.5,2000,8000,0.85,4000
